Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
509,0.8,413.005,353.955,11668.29395,10858.0508,4272.2148,-0.3749
508,0.82,413.005,343.048,12039.26953,11244.7959,4300.9976,-0.3653
507,0.84,413.005,347.071,11899.73633,11053.2305,4407.9272,-0.3795
506,0.86,413.005,351.893,11736.64453,10885.252,4388.6333,-0.3832
505,0.88,413.005,378.356,10915.7832,9698.5039,5009.3252,-0.4768
504,0.9,413.005,352.264,11724.2959,10862.1973,4412.6851,-0.3859
503,0.92,413.005,357.308,11558.79102,10653.7998,4483.5474,-0.3983
502,0.94,413.005,353.391,11686.91895,10792.5703,4483.8052,-0.3938
501,0.97,413.005,284.693,14507.03516,13374.584,5619.1255,-0.3977
500,0.99,413.005,279.501,14776.48828,13772.6094,5353.4902,-0.3707
499,1.01,413.005,281.261,14684.01953,13441.1182,5912.4233,-0.4144
498,1.04,413.005,298.439,13838.82422,12538.2314,5857.1162,-0.437
497,1.06,413.005,313.441,13176.49609,12039.1885,5355.1836,-0.4185
496,1.08,413.011,352.892,11703.59473,10509.2627,5150.6831,-0.4557
495,1.11,413.001,365.225,11308.14453,10299.126,4669.2759,-0.4256
494,1.14,414,357.883,11568.03711,10472.8281,4913.1797,-0.4387
493,1.16,415.005,370.52,11200.6084,10164.7676,4704.3745,-0.4335
492,1.19,413.011,353.142,11695.33398,10628.8242,4879.4395,-0.4304
491,1.22,412.005,373.268,11037.77539,9643.6494,5369.5908,-0.508
490,1.24,413.005,363.494,11362.07715,10355.1104,4676.3745,-0.4242
489,1.27,414.011,366.051,11310.20996,10254.7148,4770.9209,-0.4355
488,1.3,412.011,368.285,11187.27832,10142.0742,4721.603,-0.4357
487,1.33,412.001,374.989,10987.0127,9980.0176,4594.9648,-0.4315
486,1.37,413.005,379.542,10881.66797,9898.2305,4520.5894,-0.4284
485,1.4,412.005,382.953,10758.62598,9726.3604,4598.4731,-0.4416
484,1.43,412.001,384.838,10705.8457,9725.8613,4474.6787,-0.4312
483,1.46,413.001,412.704,10007.18945,9521.9727,3078.2913,-0.3127
482,1.5,414.005,394.939,10482.74707,9427.1582,4584.394,-0.4526
481,1.53,413.001,397.609,10387.11621,9341.3994,4542.0742,-0.4526
480,1.57,414.001,399.93,10351.84277,9359.4014,4422.9243,-0.4415
479,1.6,413.005,393.605,10492.87305,9441.666,4577.6982,-0.4514
478,1.64,413.005,386.846,10676.20313,9553.5596,4765.5869,-0.4627
477,1.68,413.011,415.326,9944.249023,8680.3174,4851.8223,-0.5097
476,1.72,413.011,396.247,10423.05566,9330.8789,4644.8682,-0.4619
475,1.76,413.005,392.21,10530.18652,9373.7861,4797.5991,-0.4731
